DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Delta_Close,Delta_Close,"Delta, %"
2025-10-06 10:30,6777.25,6780.75,6773.5,6780,55607,73232,-896,-896,-1.223508849
2025-10-06 11:00,6779.75,6786,6779.25,6784,40244,55552,1574,1574,2.833381336
2025-10-06 11:30,6784,6791.75,6782.75,6790.5,36482,51819,251,251,0.484378317
2025-10-06 12:00,6790.25,6791.25,6785.25,6790.75,33628,45563,-1063,-1063,-2.333033382
2025-10-06 12:30,6790.75,6791,6786,6789.75,23835,31442,-1010,-1010,-3.212263851
2025-10-06 13:00,6789.75,6796,6785.75,6793.5,33366,46106,1744,1744,3.78258795
2025-10-06 13:30,6793.5,6796,6790.5,6795.25,32652,44248,-282,-282,-0.637316941
2025-10-06 14:00,6795,6797.25,6792.75,6794.75,24642,35342,-768,-768,-2.173051893
2025-10-06 14:30,6794.75,6797.75,6792.25,6793.5,25486,37327,-449,-449,-1.202882632
2025-10-06 15:00,6793.25,6793.75,6788.5,6789.75,29163,41948,-1370,-1370,-3.265948317
2025-10-06 15:30,6789.5,6793.5,6788,6788.5,70391,129322,780,780,0.603145636
2025-10-06 16:00,6788.5,6790.25,6787,6790,19090,40912,-842,-842,-2.05807587
2025-10-06 16:30,6789.75,6791.5,6789.5,6790.25,4052,15694,-7816,-7816,-49.80247228
2025-10-06 18:00,6789.5,6793,6789.5,6790.5,1659,2374,-222,-222,-9.351305813
2025-10-06 18:30,6790.5,6790.75,6777.25,6778.5,3794,4725,-1313,-1313,-27.78835979
2025-10-06 19:00,6778.75,6781.5,6776.25,6779.75,3034,3717,131,131,3.524347592
2025-10-06 19:30,6780,6781.5,6777.5,6778.5,1740,2025,-69,-69,-3.407407407
2025-10-06 20:00,6778.25,6780,6775.75,6778,2970,3669,-211,-211,-5.7508858
2025-10-06 20:30,6778.25,6779,6775.25,6777.25,2637,3127,125,125,3.997441637
2025-10-06 21:00,6777.25,6779,6775.25,6778.5,2208,2508,-224,-224,-8.931419458
2025-10-06 21:30,6778.5,6780.25,6777,6780,1753,2121,83,83,3.913248468
2025-10-06 22:00,6780,6781.5,6778.25,6779.75,1485,1697,-43,-43,-2.533883324
2025-10-06 22:30,6779.75,6780.5,6778.75,6780.25,797,915,-15,-15,-1.639344262
2025-10-06 23:00,6780,6782.25,6779,6781,932,1054,72,72,6.831119545
2025-10-06 23:30,6781.25,6782,6779.5,6781.25,1033,1138,-40,-40,-3.514938489
2025-10-07 0:00,6781.25,6785.75,6780.75,6785,1628,1936,140,140,7.231404959
2025-10-07 0:30,6785.25,6786,6783.75,6785.25,1003,1145,121,121,10.56768559
2025-10-07 1:00,6785.25,6785.5,6782.25,6784.75,1419,1666,-84,-84,-5.042016807
2025-10-07 1:30,6785,6786,6782.5,6782.75,1557,1871,105,105,5.611972207
2025-10-07 2:00,6782.75,6784.5,6777,6777.75,3339,4024,-348,-348,-8.648111332
2025-10-07 2:30,6777.5,6781.5,6775.75,6780.75,3120,3998,-16,-16,-0.4002001
2025-10-07 3:00,6781,6781.75,6776.5,6780,5261,6421,-265,-265,-4.127083009
2025-10-07 3:30,6780.25,6780.5,6777.5,6780,3390,4207,191,191,4.540052294
2025-10-07 4:00,6780,6780.75,6775.25,6776,5077,6262,-82,-82,-1.309485787
2025-10-07 4:30,6776,6783.5,6774,6783.25,4381,5447,193,193,3.543234808
2025-10-07 5:00,6783.25,6786.25,6782.25,6785.25,2862,3501,479,479,13.6818052
2025-10-07 5:30,6785.25,6786.75,6784.75,6786.25,2598,3222,262,262,8.131595282
2025-10-07 6:00,6786.25,6787.75,6784.25,6787,3493,4290,140,140,3.263403263
2025-10-07 6:30,6787.25,6789.5,6785.25,6785.5,3242,4066,80,80,1.967535662
2025-10-07 7:00,6785.5,6787,6784.75,6786,3032,3827,231,231,6.036059577
2025-10-07 7:30,6786.25,6791.5,6785,6791.5,3947,5175,517,517,9.990338164
2025-10-07 8:00,6791.5,6792,6788.5,6791.25,5195,6762,284,284,4.199940846
2025-10-07 8:30,6791,6799.5,6790.5,6798.75,9821,13299,1193,1193,8.970599293
2025-10-07 9:00,6799,6802.75,6796.25,6797,18580,26530,56,56,0.211081794
2025-10-07 9:30,6797.25,6801.75,6792.5,6793.75,81576,106920,-2586,-2586,-2.418630752
2025-10-07 10:00,6794,6795.25,6783.75,6784.25,62776,83808,-3134,-3134,-3.739499809
2025-10-07 10:30,6784,6788.75,6776.75,6780.25,68920,94512,-1774,-1774,-1.877010327
2025-10-07 11:00,6780.5,6782.25,6759,6763.75,146665,189663,-6553,-6553,-3.455075581
2025-10-07 11:30,6763.5,6765,6747.25,6753,115918,149461,-2461,-2461,-1.64658339
2025-10-07 12:00,6753,6759,6747.25,6754.5,75380,94726,-298,-298,-0.314591559
2025-10-07 12:30,6754.5,6766.25,6752,6754.5,57928,74905,-1161,-1161,-1.549963287
2025-10-07 13:00,6754.25,6764.75,6752.5,6760.75,42509,53732,-118,-118,-0.219608427
2025-10-07 13:30,6760.5,6762.5,6753.25,6753.75,38339,48035,-1191,-1191,-2.479442073
2025-10-07 14:00,6754,6759.75,6748.5,6756.75,47504,63774,-2068,-2068,-3.242700787
2025-10-07 14:30,6757,6761.5,6756,6761.25,31743,41215,-221,-221,-0.536212544
2025-10-07 15:00,6761.25,6762,6755.75,6756.5,35554,48151,-1031,-1031,-2.141180869
2025-10-07 15:30,6756.5,6765.25,6756,6762.5,74057,135673,1553,1553,1.144664008
2025-10-07 16:00,6762.75,6767.75,6762.25,6766.75,20059,38434,1366,1366,3.554144768
2025-10-07 16:30,6766.75,6767.5,6765,6765,3498,11997,-6585,-6585,-54.88872218
2025-10-07 18:00,6766,6769,6764.75,6769,2310,3186,3,3,0.094161959
2025-10-07 18:30,6769,6770.25,6768,6769.5,1400,1696,18,18,1.061320755
